snapshot_date,model_family,body,model_year,asking_price_usd,mileage_miles,currency,location,seller_type,listing_title,listing_url,source,vin_or_stock,exterior_color,interior_color,notes
2026-09-15,STO,coupe,2024,525000,1878,USD,"Boynton Beach, Florida, USA",dealer,2024 Lamborghini Huracan STO,https://www.classic.com/veh/2024-lamborghini-huracan-sto-zhwua6zx5rla26150-nl2oaXp/,Classic.com,ZHWUA6ZX5RLA26150,,,Classic.com asterisk asking; 1k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:iLusso Boynton Beach; mileage enriched from Cars.com; also listed on Cars.com @ $525000
2026-09-15,STO,coupe,2024,570975,381,USD,"Lamborghini Huracan STO Coupe Limited Spec Automotive Miami, FL, USA",dealer,2024 Lamborghini Huracan STO Coupe,https://www.cars.com/vehicledetail/513d8b60-f8e9-4c01-accf-4d2145f2b3f9/,Cars.com,ZHWUA6ZX0RLA28856,white,Black,Cars.com search results; exact miles from Cars.com JSON: 381; seller:Limited Spec Automotive; stock:Used; exterior color: white
2026-09-15,Performante,coupe,2018,159999,,USD,"Everett, Washington, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwud-pgw9aPp/,Classic.com,,,,Classic.com asterisk asking; 7k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Nouri Motor Company; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,coupe,2018,349000,,USD,"Town of Webster, New York, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwud-WLOyYxn/,Classic.com,,,,Classic.com asterisk asking; 11k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Ek2 Exotics; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,coupe,2018,349985,,USD,"Alsip, Illinois, USA",dealer,2018 Lamborghini Huracan Performante Coupe,https://www.classic.com/veh/2018-lamborghini-huracan-performante-coupe-zhwud4z-4y0oorp/,Classic.com,,,,Classic.com asterisk asking; 9k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Pro Cars Usa; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,coupe,2018,357995,,USD,"Trenton, New Jersey, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwud-WLVMjl4/,Classic.com,,,,Classic.com asterisk asking; 19k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:J&S AutoHaus Group; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,coupe,2018,364912,,USD,"West Chicago, Illinois, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwud-pgKryPp/,Classic.com,,,,Classic.com asterisk asking; 31k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Chicago Motor Cars; VIN truncated/absent in Classic.com URL
2026-09-15,Performante,coupe,2018,364991,31616,USD,"Scottsdale, AZ, USA",dealer,2018 Lamborghini Huracan Performante,https://www.cars.com/vehicledetail/001ba0be-f795-40c3-b33b-784233e1bcbc/,Cars.com,ZHWUD4ZF9JLA10105,black,Nero Cosmus/Arancio Anthaeus,Cars.com search results; exact miles from Cars.com JSON: 31616; seller:Auto Boom LLC; stock:Used; exterior color: black
2026-09-15,Performante,coupe,2018,369780,20133,USD,"Lamborghini Huracan Performante Lamborghini Denver Highlands Ranch, CO, USA",dealer,2018 Lamborghini Huracan Performante,https://www.cars.com/vehicledetail/276ee36a-4e0d-48d1-865f-d8720adfd995/,Cars.com,ZHWUD4ZF5JLA08304,Giallo Inti Pearl Effect,Nero Cosmus,Cars.com search results; exact miles from Cars.com JSON: 20133; seller:Lamborghini Denver; stock:Used
2026-09-15,Performante,coupe,2018,369800,,USD,"Rock Hill, South Carolina, USA",dealer,2018 Lamborghini Huracan LP640-4 Performante,https://www.classic.com/veh/2018-lamborghini-huracan-lp640-4-performante-zhwcd-WbQYwmn/,Classic.com,,,,Classic.com asterisk asking; 26k mi displayed; mileage blank (rounded Nk mi); fixed-price; seller:Chicago Motor Cars; VIN truncated/absent in Classic.com URL
