snapshot_or_event_date,status,make,model_family,body,model_year,asking_price_usd,sold_price_usd,mileage_miles,location,listing_title,listing_url,source,vin_or_stock,notes
2026-09-11,last_ask,Ferrari,SF90,coupe,2023,469982,,,"Naples, Florida, USA",2023 Ferrari SF90 Stradale,https://www.classic.com/veh/2023-ferrari-sf90-stradale-zff95nla4p0286585-pg9PLPn/,Classic.com,ZFF95NLA4P0286585,SF90 Stradale; 1k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-10,last_ask,Ferrari,296,spider,2024,379000,,,"Boynton Beach, Florida, USA",2024 Ferrari 296 GTS,https://www.classic.com/veh/2024-ferrari-296-gts-zff01sma9r0304261-nm2z2GW/,Classic.com,ZFF01SMA9R0304261,296 GTS; 4k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-10,last_ask,Ferrari,296,coupe,2024,319913,,,"Wilsonville, Oregon, USA",2024 Ferrari 296 GTB,https://www.classic.com/veh/2024-ferrari-296-gtb-zff99sla8r0312143-WYwyzd4/,Classic.com,ZFF99SLA8R0312143,296 GTB; 4k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-10,last_ask,Lamborghini,Gallardo,coupe,2013,175900,,,"Boynton Beach, Florida, USA",2013 Lamborghini Gallardo LP560-4,https://www.classic.com/veh/2013-lamborghini-gallardo-lp560-4-zhwgu5au2dla1211-pe560wp/,Classic.com,,Gallardo; 14k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-10,last_ask,Lamborghini,Gallardo,coupe,2004,248995,,,"Tampa, Florida, USA",2004 Lamborghini Gallardo,https://www.classic.com/veh/2004-lamborghini-gallardo-zhwgu11m04la00976-n85OoAW/,Classic.com,ZHWGU11M04LA00976,Gallardo; 23k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-10,last_ask,Lamborghini,Murcielago,coupe,2005,738773,,,"Carrollton, Texas, USA",2005 Lamborghini Murciélago,https://www.classic.com/veh/2005-lamborghini-murcielago-zhwbu26s85la01673-WqDqXjn/,Classic.com,ZHWBU26S85LA01673,Murcielago; 7k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-10,off_market,Lamborghini,Revuelto,coupe,2024,618251,,,"Englewood, Colorado, USA",2024 Lamborghini Revuelto,https://www.classic.com/veh/2024-lamborghini-revuelto-zhwuc1zm8rla01312-nwKY0Pn/,Classic.com,ZHWUC1ZM8RLA01312,Revuelto; 1k mi displayed; mileage blank (rounded Nk mi); off_market/pending/undisclosed historical card
2026-09-10,last_ask,Lamborghini,Revuelto,coupe,2024,639999,,,"New York, New York, USA",2024 Lamborghini Revuelto,https://www.classic.com/veh/2024-lamborghini-revuelto-zhwuc1zm3rla01346-nBQvkN4/,Classic.com,ZHWUC1ZM3RLA01346,Revuelto; 3k mi displayed; mileage blank (rounded Nk mi); Classic.com Last Asking (removed/sold without published sold price)
2026-09-10,last_ask,Ferrari,SF90,spider,2023,699000,,289,"Van Nuys, California, USA",2023 Ferrari SF90 Spider,https://www.classic.com/veh/2023-ferrari-sf90-spider-zff96nma2p0297676-nXgz8k4/,Classic.com,ZFF96NMA2P0297676,SF90 Spider; exact miles displayed: 289 mi; Classic.com Last Asking (removed/sold without published sold price)
2026-09-09,sold,Ferrari,296,coupe,2024,,350000,277,"Boynton Beach, Florida, USA",2024 Ferrari 296 GTB Assetto Fiorano,https://www.classic.com/veh/2024-ferrari-296-gtb-assetto-fiorano-zff99sla9r031-WqyeqjW/,Classic.com,,296 GTB; exact miles displayed: 277 mi; auction sold
