make,model_family,body,model_year,vin,auction_house,sale_name,auction_date,status,price_native,currency,price_usd,price_basis,high_bid_usd,mileage_miles,listing_url,notes
McLaren,765LT,coupe,2021,SBM14RCC4MW765371,RM Sotheby's,RM Sotheby's via Classic.com,2026-07-08,sold,410000,GBP,,sold,,,https://www.classic.com/veh/2021-mclaren-765lt-sbm14rcc4mw765371-WNvRb6W/,native GBP 410000; price_usd blank (no FX invented); unparsed mileage 'TMU'
Ford,GT,coupe,2005,1FAFP90S55Y401070,RM Sotheby's,RM Sotheby's via Classic.com,2026-07-08,sold,398750,GBP,,sold,,,https://www.classic.com/veh/2005-ford-gt-1fafp90s55y401070-n85yqLW/,native GBP 398750; price_usd blank (no FX invented); rounded mileage displayed: 11k mi
Ferrari,488,spider,2018,ZFF80AMAXJ0232605,Bring a Trailer,Bring a Trailer,2026-07-07,sold,475000,USD,475000,sold,,,https://bringatrailer.com/listing/2018-ferrari-488-spider-46/,rounded mileage in title: 8k-Mile
Ferrari,458,coupe,2015,ZFF75VHB000208661,RM Sotheby's,RM Sotheby's via Classic.com,2026-07-04,sold,680000,EUR,,sold,,227,https://www.classic.com/veh/2015-ferrari-458-speciale-zff75vhb000208661-nK6yod4/,native EUR 680000; price_usd blank (no FX invented)
Ferrari,458,coupe,2014,ZFF75VHB000204304,Collecting Cars,Collecting Cars via Classic.com,2026-07-02,sold,512500,EUR,,sold,,,https://www.classic.com/veh/2014-ferrari-458-speciale-zff75vhb000204304-WqOZ0X4/,native EUR 512500; price_usd blank (no FX invented); rounded mileage displayed: 14k km (9k mi) TMU
Ferrari,F8,coupe,2021,ZFF92LLA9M0263313,Bring a Trailer,Bring a Trailer,2026-07-01,sold,405000,USD,405000,sold,,920,https://bringatrailer.com/listing/2021-ferrari-f8-tributo-18/,
Ferrari,458,coupe,2015,ZFF75VHT3F0204832,Collecting Cars,Collecting Cars via Classic.com,2026-06-30,sold,343000,GBP,,sold,,,https://www.classic.com/veh/2015-ferrari-458-speciale-zff75vht3f0204832-nmX77D4/,native GBP 343000; price_usd blank (no FX invented); rounded mileage displayed: 18k mi
Ferrari,458,spider,2013,ZFF68NHT9D0191858,Collecting Cars,Collecting Cars via Classic.com,2026-06-29,sold,143000,USD,143000,sold,,,https://www.classic.com/veh/2013-ferrari-458-spider-zff68nht9d0191858-4AvrB9n/,rounded mileage displayed: 66k km (41k mi)
Ford,GT,coupe,2006,1FAFP90SX6Y402006,Bring a Trailer,Bring a Trailer,2026-06-24,sold,793500,USD,793500,sold,,,https://bringatrailer.com/listing/2006-ford-gt-heritage-edition-46/,
Ferrari,458,coupe,2011,ZFF67NFA1B0180581,Bring a Trailer,Bring a Trailer,2026-06-24,sold,293000,USD,293000,sold,,,https://bringatrailer.com/listing/2011-ferrari-458-italia-52/,rounded mileage in title: 23k-Mile
Ferrari,458,spider,2014,ZFF68NHA7E0202436,Bring a Trailer,Bring a Trailer,2026-06-22,sold,342000,USD,342000,sold,,,https://bringatrailer.com/listing/2014-ferrari-458-spider-33/,
Ferrari,488,coupe,2016,ZFF79ALA0G0217395,Cars & Bids,Cars & Bids via Classic.com,2026-06-18,sold,162300,USD,162300,sold,,,https://www.classic.com/veh/2016-ferrari-488-gtb-zff79ala0g0217395-nXeKx5W/,rounded mileage displayed: 8k mi
Ferrari,488,coupe,2018,ZFF79AMC000233565,Collecting Cars,Collecting Cars via Classic.com,2026-06-16,sold,152500,GBP,,sold,,,https://www.classic.com/veh/2018-ferrari-488-gtb-zff79amc000233565-nBJboRn/,native GBP 152500; price_usd blank (no FX invented); rounded mileage displayed: 12k mi
McLaren,675LT,spider,2017,SBM11SAB8GW675705,Collecting Cars,Collecting Cars via Classic.com,2026-06-12,sold,270000,EUR,,sold,,,https://www.classic.com/veh/2017-mclaren-675lt-spider-sbm11sab8gw675705-4aLaZLp/,native EUR 270000; price_usd blank (no FX invented); rounded mileage displayed: 9k km (6k mi)
McLaren,675LT,coupe,2016,,Collecting Cars,Collecting Cars via Classic.com,2026-06-11,sold,182000,USD,182000,sold,,,https://www.classic.com/veh/2016-mclaren-675-lt-nwOexYn/,rounded mileage displayed: 6k km (3k mi)
Ford,GT,coupe,2006,1FAFP90S66Y400771,Bring a Trailer,Bring a Trailer,2026-06-11,sold,530000,USD,530000,sold,,,https://bringatrailer.com/listing/2006-ford-gt-211/,rounded mileage in title: 11k-Mile
Ferrari,458,coupe,2015,ZFF75VFA8F0205055,Bring a Trailer,Bring a Trailer,2026-06-11,sold,1129000,USD,1129000,sold,,4100,https://bringatrailer.com/listing/2015-ferrari-458-speciale-36/,
Ferrari,458,spider,2012,ZFF68NHCC00019280,Collecting Cars,Collecting Cars via Classic.com,2026-06-10,sold,174000,GBP,,sold,,,https://www.classic.com/veh/2012-ferrari-458-spider-zff68nhcc000192803-nOJbRv4/,native GBP 174000; price_usd blank (no FX invented); rounded mileage displayed: 22k mi
